,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
99,bredasdorp,10,ZA,1650910724,72,-34.5322,20.0403,286.59,1.58
100,wukari,79,NG,1650910754,48,7.85,9.7833,305.56,2.71
101,fort nelson,100,CA,1650910754,100,58.8053,-122.7002,274.99,0.7
102,hithadhoo,41,MV,1650910755,73,-0.6,73.0833,302.6,3.39
103,kathu,49,TH,1650910755,73,7.9178,98.3332,298.05,1.22
104,bambous virieux,40,MU,1650910755,69,-20.3428,57.7575,298.29,5.66
105,balikpapan,20,ID,1650910756,100,-1.2675,116.8289,296.7,2.06
106,miandrivazo,57,MG,1650910756,62,-19.5167,45.4667,299.59,1.48
107,gloucester,46,GB,1650910523,56,51.8657,-2.2431,287.56,3.58
108,fortuna,75,US,1650910756,80,40.5982,-124.1573,289.22,3.6
109,avera,6,US,1650910757,47,33.194,-82.5271,301.23,2.58
110,leiyang,6,CN,1650910757,98,26.4024,112.8591,294.83,0.99
111,kapaa,100,US,1650910758,83,22.0752,-159.319,297.14,8.23
112,jamestown,100,US,1650910758,44,42.097,-79.2353,298.95,6.17
113,cranbrook,75,CA,1650910758,46,49.4999,-115.7688,284.06,2.57
114,tigbinan,64,PH,1650910759,95,14.1865,122.4692,297.11,2.22
115,gazimurskiy zavod,100,RU,1650910759,72,51.5461,118.3266,273.24,2.97
116,tete,40,MZ,1650910759,83,-16.1564,33.5867,297.2,1.54
117,tilichiki,97,RU,1650910760,93,60.4667,166.1,267.96,4.32
118,bethel,0,US,1650910760,34,41.3712,-73.414,291.03,6.17
119,bandarbeyla,53,SO,1650910760,70,9.4942,50.8122,301.32,3.85
120,puerto ayora,78,EC,1650910761,78,-0.7393,-90.3518,298.13,4.47
121,cherskiy,100,RU,1650910761,83,68.75,161.3,265.31,1.99
122,abnub,1,EG,1650910761,23,27.2696,31.1511,302.56,4.82
123,port keats,88,AU,1650910762,44,-14.25,129.55,301.02,1.59
124,condado,4,CU,1650910762,43,21.8767,-79.8403,304.38,3.82
125,narsaq,93,GL,1650910762,76,60.9167,-46.05,281.27,0.89
126,valparaiso,20,CL,1650910533,78,-33.0393,-71.6273,292.95,4.63
127,imeni poliny osipenko,49,RU,1650910763,98,52.4201,136.4853,262.97,0.91
128,kutum,95,SD,1650910764,8,14.2,24.6667,302.27,2.97
129,sangar,80,RU,1650910764,98,63.9242,127.4739,256.85,1.65
130,khatanga,30,RU,1650910765,100,71.9667,102.5,250.11,1.45
131,tuktoyaktuk,100,CA,1650910765,94,69.4541,-133.0374,273.21,1.95
132,olafsvik,97,IS,1650910765,69,64.8945,-23.7142,280.61,1.51
133,georgetown,20,MY,1650910536,88,5.4112,100.3354,300.11,1.54
134,torbay,100,CA,1650910766,93,47.6666,-52.7314,280.31,7.6
135,mahebourg,40,MU,1650910766,69,-20.4081,57.7,298.31,5.66
136,chinsali,41,ZM,1650910767,97,-10.5414,32.0816,290.69,2.24
137,kangaatsiaq,96,GL,1650910767,77,68.3065,-53.4641,271.25,2.85
138,grand forks,100,US,1650910618,80,47.9417,-97.4337,269.14,11.83
139,bilibino,100,RU,1650910767,88,68.0546,166.4372,262.36,2.01
140,saint george,0,US,1650910768,15,37.1041,-113.5841,295.72,1.54
141,itarema,58,BR,1650910768,77,-2.9248,-39.9167,301.29,5.81
142,port alfred,35,ZA,1650910768,88,-33.5906,26.891,287.69,5.34
143,takoradi,54,GH,1650910769,80,4.8845,-1.7554,300.97,2.97
144,kaeo,29,NZ,1650910769,98,-35.1,173.7833,286.11,1.3
145,dicabisagan,29,PH,1650910769,86,17.0818,122.4157,299.24,1.53
146,bilma,0,NE,1650910770,8,18.6853,12.9164,309.91,4.26
147,biak,89,ID,1650910770,84,-0.9131,122.8766,298.03,1.49
148,san patricio,27,US,1650910771,54,28.017,-97.5169,303.81,7.14
149,castro,0,BR,1650910771,48,-24.7911,-50.0119,298.45,1.53
150,cayenne,75,GF,1650910518,10,4.9333,-52.3333,302.64,4.12
151,ustyuzhna,84,RU,1650910759,95,58.8394,36.4321,279.92,3.26
152,mapiripan,96,CO,1650910772,80,2.8892,-72.1256,300.92,2.35
153,constitucion,99,CL,1650910611,82,-35.3333,-72.4167,286.81,3.48
154,saint-pierre,75,RE,1650910772,78,-21.3393,55.4781,296.43,3.6
155,hameenlinna,51,FI,1650910772,73,60.996,24.4643,278.57,1.56
156,causapscal,100,CA,1650910773,89,48.3542,-67.227,279.34,4.65
157,iqaluit,100,CA,1650910773,78,63.7506,-68.5145,258.0,13.38
158,jalu,87,LY,1650910773,11,29.0331,21.5482,303.16,4.45
159,mbandaka,93,CD,1650910774,80,0.0487,18.2603,298.42,1.6
160,chuy,100,UY,1650910774,97,-33.6971,-53.4616,292.09,1.89
161,hami,70,CN,1650910774,25,42.8,93.45,292.42,5.61
162,ordzhonikidze,73,KZ,1650910775,47,52.4411,61.7408,285.63,4.04
163,behbahan,100,IR,1650910775,31,30.5959,50.2417,300.17,2.17
164,tamiahua,57,MX,1650910775,63,21.2667,-97.45,303.5,4.56
165,ponta do sol,50,PT,1650910701,77,32.6667,-17.1,292.66,4.64
166,coquimbo,0,CL,1650910776,77,-29.9533,-71.3436,290.0,6.17
167,portland,100,US,1650910035,89,45.5234,-122.6762,286.22,3.09
168,kudahuvadhoo,27,MV,1650910776,66,2.6708,72.8944,302.47,1.78
169,sorland,91,NO,1650910777,62,67.667,12.6934,275.07,11.6
170,naze,26,JP,1650910777,91,28.3667,129.4833,295.66,6.75
171,longyearbyen,75,SJ,1650910778,56,78.2186,15.6401,258.06,6.69
172,norman wells,40,CA,1650910778,65,65.282,-126.8329,277.17,2.06
173,les herbiers,51,FR,1650910778,79,46.8667,-1.0167,288.99,2.11
174,ahipara,48,NZ,1650910779,83,-35.1667,173.1667,289.33,3.6
175,yellowknife,75,CA,1650910779,56,62.456,-114.3525,276.44,5.66
